Coin,classification,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
SUI,Greed,880.0,305.0,0.3465909090909091,4158513.0,101637.557765,1127.54489,100510.01287499999,114.2159237215909,331.00619304262295,73.74351999999999,0.9672131147540983,716.8772228048753,101097.91430200002,-141.02542400000002,24.169700293109578,2.7114136471378107
SOL,Extreme Fear,1878.0,863.0,0.459531416400426,26241359.78,105179.504312,6070.595642,99108.90867,52.77364678913738,118.43957692236381,6.185771,0.6790266512166859,2.550398544952348,168140.50324,-65927.148356,3.7768206183254427,2.313369311992261
MELANIA,Extreme Fear,446.0,350.0,0.7847533632286996,862551.92,97379.16719800001,127.551477,97251.61572100001,218.05295004708523,277.94980165714287,119.0187915,1.0,inf,97282.43058,0.0,112.74870934262138,1.4787686867591692
BTC,Extreme Greed,2436.0,979.0,0.40188834154351394,43881928.84,100882.71109299999,13082.767364,87799.943729,36.04266983949097,96.4475560990807,16.199855999999997,0.8416751787538305,9.607999465403118,105391.274903,-10969.117482,2.0008223441848143,2.981356496817107
BERA,Greed,412.0,363.0,0.8810679611650486,545933.81,83243.565498,57.282634,83186.28286400001,201.9084535533981,229.1666607630854,54.314648,1.0,inf,83187.497857,0.0,152.37430131685744,1.0492596895583366
BTC,Greed,7240.0,3209.0,0.443232044198895,164299783.89999998,115475.19154900001,37353.360922,78121.830627,10.790308097651934,30.91462079464008,0.7078890000000002,0.717980679339358,1.9046828207318987,208862.25474,-109657.23660999999,0.4754834654837304,2.2734881346365547
PURR/USDC,Extreme Greed,1480.0,713.0,0.4817567567567568,645545.6,77506.588413,468.5300039999999,77038.058409,52.05274216824325,108.55808245301544,17.239149,0.9775596072931276,676.0983505373767,77516.565584,-114.652795,119.3379033316934,7.257891681083411
MELANIA,Greed,1231.0,1017.0,0.826157595450853,1468082.5499999998,73550.50032400001,256.22212099999996,73294.278203,59.540437207961006,72.09769039626353,8.565542,0.8357915437561455,11.055214801564272,80615.42321499999,-7292.072081999999,49.925174986243114,1.745284153128855
ETH,Neutral,1317.0,746.0,0.5664388762338648,17590391.62,61574.088598,3694.5609320000003,57879.52766600002,43.948008858010645,79.89350345040215,13.8012,0.806970509383378,1.4975609737683333,179385.98031800002,-119785.42674400001,3.290405859991878,2.1003289817603275
SUI,Extreme Fear,249.0,161.0,0.6465863453815262,1318482.1099999999,44788.991651000004,339.704782,44449.286869,178.51119224497992,276.44836326086954,102.30750400000001,0.9440993788819876,221.73057091612856,44709.826820999995,-201.64033600000002,33.71246870312105,2.576483817440648
JUP,Greed,288.0,160.0,0.5555555555555556,1112463.75,43234.079594,372.291273,42861.788321,148.82565389236112,268.904844125,33.081539500000005,0.95,226.59608741298706,43215.491023,-190.715963,38.528705605913004,3.346547453793438
