Account,classification,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,986.0,311.0,0.3154158215010142,10441684.57,166696.399486,1960.891566,164735.50792,167.07455164300202,532.2438301897106,101.74829399999999,0.9807073954983923,384.81025976316374,165959.106349,-431.27516,15.776717522506045,1.8779456062423459
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,1745.0,607.0,0.3478510028653295,4170375.08,151292.73285899998,477.514178,150815.218681,86.42705941604585,248.93340085337726,48.016995,0.8533772652388797,11.41983200703042,165604.014861,-14501.440543,36.163466304090804,1.1450149419174067
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,431.0,305.0,0.7076566125290024,631747.95,144514.3446,62.625261,144451.719339,335.1548012505801,473.6592854131147,84.441639,0.9114754098360656,6.830646245432584,169243.109497,-24777.027446,228.65403732453743,0.9913013726439478
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,3169.0,1306.0,0.41211738718838753,121999299.13999999,163047.664946,24868.867510000004,138178.797436,43.60328098327548,117.90200915084228,3.43476,0.9096477794793262,107.07655361194264,155431.61734,-1451.593389,1.132619600358796,2.038443473471253
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421.0,245.0,0.5819477434679335,9824876.71,125650.11674000001,1301.1481080000003,124348.968632,295.36572121615205,510.05900206938776,40.958577,1.0,inf,124964.455507,0.0,12.656542397670453,1.3243403926643271
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,2446.0,890.0,0.36385936222403925,45776822.49,129217.68646,13860.540195000001,115357.146265,47.16154794153721,137.47579143146066,38.473447,0.9101123595505618,14.066718701032979,131717.20185900002,-9363.747485,2.5199902481261103,3.0278510916802603
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,7481.0,3939.0,0.5265338858441385,3277267.08,108009.960644,1131.2897251099998,106878.67091888998,14.28668238455955,27.274994943640515,2.614378,0.8352373698908352,22.856072259168197,112351.82779,-4915.622707,32.61213331410572,3.4519302134814103
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,672.0,506.0,0.7529761904761905,3667355.44,97380.090931,792.85779219,96587.23313881,143.73100169465775,191.17152677667985,30.22704,1.0,inf,96732.792549,0.0,26.337025335839822,2.161933319967481
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,2618.0,2240.0,0.8556149732620321,6523818.28,95937.394195,725.166052,95212.22814299999,36.36830715928189,42.625046915625,11.537673999999999,0.9433035714285715,18.828616292534676,100835.54622700001,-5355.441136,14.594555528146927,1.1115669089421665
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,1135.0,721.0,0.6352422907488987,6357516.120000001,96392.78318600002,1459.994538,94932.788648,83.6412234784141,132.486996557559,2.31651,0.9375866851595007,11.006615662781018,105069.12166,-9545.997141999998,14.932370890787453,2.296485782249184
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,3005.0,989.0,0.3291181364392679,4792042.529999999,93165.161357,2739.40674467,90425.75461233,30.091765262006653,93.5820523164813,23.957535999999998,0.993933265925177,9.396628873539887,103575.245968,-11022.596226999998,18.86998165108731,5.7165743574275005
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,1478.0,871.0,0.5893098782138024,5039569.399999999,90895.05041,1531.742448,89363.30796199999,60.462319324763186,103.55591470149254,16.738270999999997,0.8254879448909299,21.69237226252387,94556.160676,-4358.958971,17.73233006018332,3.039431202197553
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,171.0,153.0,0.8947368421052632,106012.87,73192.07714200001,25.07813282,73166.99900918,427.8771871881871,478.21665166666673,193.17795900000002,1.0,inf,73167.14770500001,0.0,690.1709104675688,2.3655743703571086
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,371.0,159.0,0.42857142857142855,9319233.83,74346.546606,2924.867029,71421.679577,192.51126570619948,457.57576462893076,128.942837,1.0,inf,72754.546576,0.0,7.663900367762314,3.1385273535946894
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,2334.0,849.0,0.36375321336760924,34783947.19,79023.47149299999,11169.308956,67854.16253700001,29.072049073264786,86.71708446525325,27.207721,0.9411071849234394,2.92057959497783,111956.443631,-38333.638920000005,1.9507321054267048,3.2110527580409434
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,3150.0,1270.0,0.4031746031746032,1707644.17,67275.949439,602.72904938,66673.22038962,21.166101710990475,52.779970763779524,9.5788855,0.8456692913385827,18.249470026514395,70916.51199,-3885.94912,39.043977405210825,3.5295939281073996
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,494.0,66.0,0.13360323886639677,1111813.49,63549.71113,106.733686,63442.97744399999,128.42707984615382,962.5559520151515,17.926623,1.0,inf,63528.692833,0.0,57.06260808546224,0.9599963209656684
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Greed,1549.0,433.0,0.27953518398967075,3665028.12,63520.27468300001,885.25956372,62635.015119280004,40.43577477035507,145.67310899538109,59.905480000000004,1.0,inf,63076.456195000006,0.0,17.089913929304313,2.4154236604329244
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,1199.0,419.0,0.3494578815679733,4734259.0,60254.251561,1467.625188,58786.626373,49.02971340533778,142.65039595226727,40.788793,0.954653937947494,869.4564421199921,59839.33975400001,-68.82385,12.417281431582007,3.1000103458640513
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,134.0,68.0,0.5074626865671642,625897.45,58961.37973,212.744953,58748.634777,438.42264758955224,865.0763072058824,186.03009099999997,1.0,inf,58825.18889,0.0,93.86303583278699,3.3990385006361667
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,4270.0,2011.0,0.47096018735363,7376108.43,57368.780126000005,1056.6312389999998,56312.148886999996,13.187856882201404,28.192259778219793,2.08478,1.0,inf,56694.634414,0.0,7.634398195390953,1.4325050248752917
