Coin,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
BERA,1054.0,609.0,0.5777988614800759,2056756.0,73689.746587,357.1084609999999,73332.63812599999,69.57555799430739,120.66089796387521,27.877429000000003,0.8932676518883416,3.325692037217761,105078.453,-31595.96614,35.65451522980849,1.7362704229378687
USUAL,598.0,430.0,0.7190635451505016,962189.3699999999,69631.943237,176.989257,69454.95398,116.14540799331104,161.70825174186047,1.9893630000000002,0.7511627906976744,21.284214448747786,72962.561122,-3428.0128729999997,72.18428736122912,1.839443071377935
AVAX,202.0,105.0,0.5198019801980198,400115.48,48297.313845,104.733294,48192.58055100001,238.5771314405941,459.608125657143,5.555978,0.9523809523809523,1706.874306596518,48287.14300000001,-28.289806,120.44667842143974,2.617576655619523
ETHFI,311.0,124.0,0.3987138263665595,769716.13,43929.006074,253.15057299999995,43675.855501000005,140.43683440836014,353.3225277580645,208.135715,1.0,inf,43811.993442,0.0,56.74280919772333,3.288882266245349
JUP,644.0,306.0,0.4751552795031056,1496950.3999999997,42909.223316999996,488.1490839999999,42421.07423300001,65.87123328105591,139.40209289542486,22.145775,0.9640522875816994,11.999833333742615,46535.01194900001,-3877.9715229999993,28.338329869179375,3.2609569695829603
kBONK,1647.0,1165.0,0.7073466909532483,2995780.58,35551.245276,266.038007,35285.207269,21.423926696417727,30.417888702145923,0.20185000000000003,0.5141630901287554,5.819555488263387,42789.559987,-7352.719649000001,11.778301623478713,0.8880423645713065
JELLY,992.0,911.0,0.9183467741935484,2193971.3099999996,35193.716243999996,341.111631,34852.604613,35.13367400504033,38.394073236004395,14.003786,0.8814489571899012,14.691553252301208,37531.64153,-2554.640812,15.885624599621593,1.5547679654935873
PURR,1198.0,863.0,0.7203672787979967,1098592.1,26766.355202000002,137.889422,26628.465780000002,22.22743387312187,30.926820031286216,4.98897,0.9455388180764774,116.03045877623065,26921.869848000002,-232.024161,24.23871952110342,1.2551466736380135
ONDO,1463.0,720.0,0.49213943950786054,1726582.0899999999,24570.824904999998,172.208685,24398.616220000004,16.67711293233083,33.98024330555556,5.320309,0.9847222222222223,114.48540433760915,24681.360394,-215.585214,14.131164895843444,0.9973964516219441
WLD,1983.0,940.0,0.47402924861321233,2792841.63,22281.920156,621.7480410000001,21660.172114999998,10.922930970751386,23.408616664893618,3.8296669999999997,0.7404255319148936,3.5245763801619954,30720.056859999997,-8715.957194999999,7.7556034263926374,2.226220184923268
ANIME,660.0,264.0,0.4,590255.83,21317.258030999998,153.981422,21163.276609,32.06557061969697,80.54332701515152,6.4746785,0.8143939393939394,18.248781588480888,22496.188495999995,-1232.750164,35.85441351591564,2.6087234411560156
ZEREBRO,769.0,640.0,0.8322496749024707,1320048.45,21166.925278,196.17037799999997,20970.7549,27.27016241872562,32.88027404375,8.959382,0.9671875,85.67408866766887,21291.897406,-248.522018,15.886352428958194,1.4860846812099964
VIRTUAL,570.0,337.0,0.5912280701754385,1361590.25,19544.481508,400.023245,19144.458263,33.58676888245614,57.438063783382795,16.21137,0.9258160237388724,7.4095901804007305,22376.575253000003,-3019.9477580000002,14.06036673881882,2.9379120847846845
kPEPE,1730.0,1033.0,0.5971098265895953,2450800.0700000003,18676.997283999997,425.37706000000003,18251.620224000002,10.550069493641619,17.866907318489837,-0.23291699999999999,0.47047434656340753,2.4912484748313575,30833.067908,-12376.552648,7.447208953278674,1.735666100254355
TAO,1082.0,665.0,0.6146025878003697,1693805.3499999999,16817.940469999998,258.256182,16559.684288,15.304698972273568,25.086853049624057,1.462476,0.8932330827067669,18.91844541984349,17613.795484,-931.038206,9.776615883283165,1.5247099201806162
ME,488.0,223.0,0.4569672131147541,316205.37,16011.899937999999,43.735331,15968.164607,32.72164878483607,71.69674878475337,25.767276000000003,0.7668161434977578,4.689991518037496,20321.277887,-4332.902908,50.499346696737,1.3831305584721727
PNUT,586.0,463.0,0.7901023890784983,961622.8200000001,14844.964381000003,228.755043,14616.209338,24.94233675426621,31.923093062634987,1.534282,0.9913606911447084,704.4530866826349,14801.403286000004,-21.011198,15.199524214701976,2.3788437445775257
NEAR,223.0,201.0,0.9013452914798207,813006.7599999999,13957.535979,34.420961,13923.115018,62.43549335426009,69.33239192039801,20.091880999999997,1.0,inf,13935.810776,0.0,17.125460331965755,0.4233785337775052
RNDR,176.0,146.0,0.8295454545454546,619792.36,13566.322558,-0.026041000000000425,13566.348599,77.08152613068182,92.90337282876712,21.978063000000002,1.0,inf,13563.892432999999,0.0,21.88853795971283,-0.0004201568409136315
